ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
457,F,63,2,1.111111111,1.5,5,4,,,,,
458,M,27,4,1.111111111,2.5,3.4,3.5,,,,,
459,F,47,2,1,2.75,5,4,,,,,
460,F,39,2,1.777777778,2,3.8,3.75,,,,,
461,F,30,2,2.444444444,2.75,4.6,4,,,,,
462,F,26,2,1.222222222,1,4.2,4,,,,,
463,M,28,4,1.111111111,1.5,4.4,3.75,,,,,
464,F,57,2,2,1.75,2.6,4,,,,,
465,F,33,2,3.333333333,4,3.2,2.125,,,,,
466,F,32,3,1.666666667,2.5,4,3,,,,,
467,F,19,2,2.888888889,1.75,3.8,2.875,,,,,
468,F,22,3,1.666666667,3.25,3.6,2.875,,,,,
469,F,46,5,1.333333333,2,4.2,3.875,,,,,
470,F,44,2,1,1.75,3.6,4,,,,,
471,F,51,4,1.222222222,3.25,2.6,4,,,,,
472,F,26,2,2.333333333,1,3.6,4,,,,,
473,M,55,5,3.222222222,3,4.8,3.5,,,,,
474,F,21,2,1.222222222,1,4.6,3.75,,,,,
475,F,23,3,2.444444444,3.75,4.2,3.5,,,,,
476,M,23,3,1.111111111,1,4.8,4,,,,,
477,F,44,2,3.888888889,2,1.2,2,,,,,
478,F,30,4,1.888888889,1,1.8,3.25,,,,,
479,F,45,4,2.222222222,2,2.8,2.75,,,,,
480,M,33,2,1.888888889,2.25,4,2.5,,,,,
481,F,28,4,4.555555556,4.5,1,1.375,,,,,
